views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
  238,745     55                8  REMOVED  Blade Runner 2049
  238,651     78                9  kept     Fight Club
  238,521    134                4  kept     Zeus
  237,774    146                9  kept     Agatha Christie
  237,748     52                6  kept     ER (TV series)
  237,121     41                9  kept     Legally Blonde
  237,007     55                9  REMOVED  Eyes Wide Shut
  236,770     98                8  kept     One Direction
  236,226     86                9  kept     James Bond
  236,161    179                6  kept     Franz Kafka
  235,780     37               11  kept     Hamilton (musical)
  234,882     34               13  kept     It's Always Sunny in Philadelphia
  234,719     89                6  kept     Stan Lee
  233,100     88                8  kept     Ray Charles
  232,950     36                9  kept     Bridgerton
  232,540     40                9  kept     Inferno (Dante)
  232,246     45                6  REMOVED  Bad (album)
  231,178     85                7  kept     Guns N' Roses
  230,079     79               10  kept     Studio Ghibli
  230,014    151                6  kept     George Orwell
  228,465     39               10  kept     Fargo (TV series)
  228,259    191               10  kept     Sigmund Freud
  228,255     39               13  kept     Homeland (TV series)
  228,045     86                9  kept     Pulp Fiction
  228,036     94                5  kept     Aeneid
  227,909     60                7  kept     Arrival (film)
  227,735    100                8  kept     Iron Maiden
  227,470    102               12  kept     Humphrey Bogart
  227,234     77                8  kept     Ulysses (novel)
  227,002     68               10  kept     Kendrick Lamar
  226,586     64               11  kept     The Notorious B.I.G.
  226,496     58               14  kept     Everything Everywhere All at Once
  226,476     38               10  kept     Despicable Me
  226,407     73                8  kept     Alice Cooper
  226,400     90                8  kept     Ian Fleming
  226,026     59               12  kept     The Last of Us (TV series)
  225,933     90                7  kept     Robin Hood
  225,380     72               12  kept     Lawrence of Arabia (film)
  225,104    118               12  kept     Epic of Gilgamesh
  224,640     87                5  kept     Ayn Rand
  224,355     62               10  kept     David Fincher
  223,447     52               15  REMOVED  Buffy the Vampire Slayer
  223,071     86                8  kept     Miles Davis
  223,063     74                9  kept     House (TV series)
  222,315     78               12  kept     Grand Theft Auto: San Andreas
  222,290     71                7  kept     The Departed
  222,124     44                9  kept     Dark (TV series)
  221,789     88               10  kept     Antonio Banderas
  221,636     84                9  kept     Hans Zimmer
  221,430     60               11  kept     The Truman Show
  221,210    106               11  kept     Katharine Hepburn
  220,529     72                8  kept     Cars (film)
