5326 candidates, 5079 kept

 views/60d  langs  letters  status           title
     66711    102        5  kept             Ice age
     66686    100        2  under 3 letters  DVD
     66643    160        9  kept             Photosynthesis
     66618     71        9  kept             Quantum entanglement
     66603    171       10  kept             Louis Pasteur
     66270    109       11  kept             Hubble Space Telescope
     66266     73        9  kept             Chaos theory
     66003     40       14  kept             Double-slit experiment
     65846    111        4  kept             Unix
     65813    169       11  kept             Computer science
     65748     75        5  kept             Peptide
     65734    151        9  kept             Light-year
     65661     81       11  kept             Cloud computing
     65522    180        4  kept             Lead
     65519     90        3  kept             USB
     65430     40        8  not science      Hanlon's razor
     65426    105        2  under 3 letters  PH
     65414     76       10  kept             String theory
     65285    104        9  kept             Supernova
     65141     79       10  kept             Fermat's Last Theorem
     64999    145        7  kept             Cholera
     64996     99        9  kept             Charles Babbage
     64702    108        6  kept             Aspirin
     64635    246        9  kept             Chemistry
     64627    161        8  kept             Pregnancy
     64293    171        6  kept             Uranium
     64167    129        9  kept             Submarine
     63971    235        7  kept             Indian Ocean
     63813     44       13  roundup page     List of trigonometric identities
     63810     68        8  kept             Abiogenesis
     63770     42       11  kept             Visual Studio Code
     63597    108       12  kept             Unmanned aerial vehicle
     63525     42       11  kept             Collatz conjecture
     63436     99        5  kept             Whale
     63435     70        8  kept             Hippocratic Oath
     63427     85        4  kept             Taiga
     63365     90        7  kept             Betelgeuse
     63200    108        8  kept             Ganymede (moon)
     63191     65        6  kept             Heat wave
     62995     65       11  kept             Go (programming language)
     62963    121       12  kept             Eris (dwarf planet)
     62929     64        4  kept             HDMI
     62922    132       10  kept             Atmosphere of Earth
     62861    141        7  latin name       Mollusca
     62782    104        7  kept             Arachnid
     62769     37        7  kept             Yann LeCun
     62747    102        6  kept             Quartz
     62725    162        6  kept             Avicenna
     62679     87        5  kept             Krakatoa
     62650    140       10  kept             Erwin Schrödinger
     62603    131        9  kept             Helicopter
     62537     66        8  kept             Turing test
     62496    128        9  kept             Plasma (physics)
     62393     40        8  kept             Phineas Gage
     62227     67        9  kept             Taylor series
     62203     68       10  kept             Gamma function
     62155    152        4  kept             Steel
     62099    197        6  kept             Number
     61880     66       11  kept             Observable universe
     61709    202        6  kept             Helium
     61565     73       11  kept             Transmission Control Protocol
     61501     52       11  kept             Mandelbrot set
     61451    115        7  kept             Amino acid
     61381     73        9  kept             Sergei Korolev
     61366    106        5  kept             Quark
     61122    162        9  kept             Alfred Nobel
     61085    117       10  kept             General relativity
     60894     68       10  kept             Metamorphosis
     60804     91        5  kept             Fjord
     60796     34       10  kept             Kalman filter
     60726     54       10  kept             Pareto principle
     60623     42       13  kept             Birthday problem
     60607     91        9  kept             Blockchain
     60532    133        7  kept             Transistor
     60505    166        8  kept             Triangle
     60468     74        3  kept             API
     60420     52       10  kept             Murphy's law
     59886     57        5  kept             Bell Labs
     59770     91        6  kept             Parsec
     59695     50       10  kept             Markov chain
     59604    109        5  kept             Camera
     59573    113        6  kept             Celsius
     59497    195        7  not science      Economics
     59453     66       11  kept             Bernoulli's principle
     59411     66        8  kept             Sickle cell disease
     59387    153       11  kept             Michael Faraday
     59382    199        7  kept             Nitrogen
     59373     70       10  kept             Comet Hale–Bopp
     59362    122        9  kept             Gunpowder
     59327     72        7  kept             Wormhole
     59319     66        8  kept             Linux kernel
     59267    101        6  kept             Hypatia
     59191    112        7  kept             Consciousness
     59159    109        4  kept             Io (moon)
     59148    144        9  kept             Algorithm
